A,B,C,D,E
6.837367E-01, 1.728074E+04,-1.282409E-01,-5.907603E-05, 1.080000E+00
6.904964E-01, 1.744741E+04,-1.282458E-01,-4.581416E-05, 1.090000E+00
6.971731E-01, 1.761407E+04,-1.282514E-01,-3.342029E-05, 1.100000E+00
7.037647E-01, 1.778074E+04,-1.282577E-01,-2.207606E-05, 1.110000E+00
7.102692E-01, 1.794740E+04,-1.282645E-01,-1.193926E-05, 1.120000E+00
7.166846E-01, 1.811407E+04,-1.282719E-01, 0.000000E+00, 1.130000E+00
7.230091E-01, 1.828074E+04,-1.282798E-01, 0.000000E+00, 1.140000E+00
7.292408E-01, 1.844740E+04,-1.282882E-01, 1.003584E-05, 1.150000E+00
7.353780E-01, 1.861407E+04,-1.282970E-01, 1.428849E-05, 1.160000E+00
7.414190E-01, 1.878074E+04,-1.283062E-01, 1.694242E-05, 1.170000E+00
7.473623E-01, 1.894740E+04,-1.283158E-01, 1.800039E-05, 1.180000E+00
7.532064E-01, 1.911407E+04,-1.283257E-01, 1.749073E-05, 1.190000E+00
7.589498E-01, 1.928074E+04,-1.283358E-01, 1.546581E-05, 1.200000E+00
7.645913E-01, 1.944740E+04,-1.283462E-01, 1.200039E-05, 1.210000E+00
7.701297E-01, 1.961407E+04,-1.283567E-01, 7.189526E-06, 1.220000E+00
7.755637E-01, 1.978073E+04,-1.283673E-01, 0.000000E+00, 1.230000E+00
7.808925E-01, 1.994740E+04,-1.283780E-01,-5.999482E-06, 1.240000E+00
7.861149E-01, 2.011407E+04,-1.283888E-01,-1.410847E-05, 1.250000E+00
7.912302E-01, 2.028073E+04,-1.283995E-01,-2.302772E-05, 1.260000E+00
7.962375E-01, 2.044740E+04,-1.284102E-01,-3.259798E-05, 1.270000E+00
8.011361E-01, 2.061407E+04,-1.284208E-01,-4.265534E-05, 1.280000E+00
8.059253E-01, 2.078073E+04,-1.284312E-01,-5.303404E-05, 1.290000E+00
8.106045E-01, 2.094740E+04,-1.284415E-01,-6.356911E-05, 1.300000E+00
8.151732E-01, 2.111407E+04,-1.284515E-01,-7.409894E-05, 1.310000E+00
8.196308E-01, 2.128073E+04,-1.284613E-01,-8.446770E-05, 1.320000E+00
8.239770E-01, 2.144740E+04,-1.284707E-01,-9.452758E-05, 1.330000E+00
8.282113E-01, 2.161406E+04,-1.284799E-01,-1.041408E-04, 1.340000E+00
8.323333E-01, 2.178073E+04,-1.284886E-01,-1.131814E-04, 1.350000E+00
8.363427E-01, 2.194740E+04,-1.284970E-01,-1.215367E-04, 1.360000E+00
8.402392E-01, 2.211406E+04,-1.285050E-01,-1.291087E-04, 1.370000E+00
8.440225E-01, 2.228073E+04,-1.285125E-01,-1.358149E-04, 1.380000E+00
8.476923E-01, 2.244740E+04,-1.285195E-01,-1.415891E-04, 1.390000E+00
8.512485E-01, 2.261406E+04,-1.285260E-01,-1.463819E-04, 1.400000E+00
8.546907E-01, 2.278073E+04,-1.285320E-01,-1.501605E-04, 1.410000E+00
8.580188E-01, 2.294740E+04,-1.285374E-01,-1.529089E-04, 1.420000E+00
8.612325E-01, 2.311406E+04,-1.285423E-01,-1.546275E-04, 1.430000E+00
8.643318E-01, 2.328073E+04,-1.285466E-01,-1.553322E-04, 1.440000E+00
8.673163E-01, 2.344740E+04,-1.285504E-01,-1.550539E-04, 1.450000E+00
8.701860E-01, 2.361406E+04,-1.285536E-01,-1.538372E-04, 1.460000E+00
8.729406E-01, 2.378073E+04,-1.285561E-01,-1.517391E-04, 1.470000E+00
8.755801E-01, 2.394739E+04,-1.285581E-01,-1.488281E-04, 1.480000E+00
8.781043E-01, 2.411406E+04,-1.285595E-01,-1.451820E-04, 1.490000E+00
8.805131E-01, 2.428073E+04,-1.285603E-01,-1.408869E-04, 1.500000E+00
8.828063E-01, 2.444739E+04,-1.285606E-01,-1.360354E-04, 1.510000E+00
8.849840E-01, 2.461406E+04,-1.285602E-01,-1.307247E-04, 1.520000E+00
8.870459E-01, 2.478073E+04,-1.285593E-01,-1.250551E-04, 1.530000E+00
8.889921E-01, 2.494739E+04,-1.285578E-01,-1.191281E-04, 1.540000E+00
8.908225E-01, 2.511406E+04,-1.285558E-01,-1.130453E-04, 1.550000E+00
8.925371E-01, 2.528073E+04,-1.285532E-01,-1.069060E-04, 1.560000E+00
8.941359E-01, 2.544739E+04,-1.285502E-01,-1.008064E-04, 1.570000E+00
8.956190E-01, 2.561406E+04,-1.285466E-01,-9.483815E-05, 1.580000E+00
8.969864E-01, 2.578073E+04,-1.285426E-01,-8.908660E-05, 1.590000E+00
8.982382E-01, 2.594739E+04,-1.285381E-01,-8.363029E-05, 1.600000E+00
8.993745E-01, 2.611406E+04,-1.285332E-01,-7.853967E-05, 1.610000E+00
9.003956E-01, 2.628073E+04,-1.285280E-01,-7.387645E-05, 1.620000E+00
9.013015E-01, 2.644739E+04,-1.285223E-01,-6.969289E-05, 1.630000E+00
9.020925E-01, 2.661406E+04,-1.285163E-01,-6.603143E-05, 1.640000E+00
9.027689E-01, 2.678072E+04,-1.285100E-01,-6.292436E-05, 1.650000E+00
9.033310E-01, 2.694739E+04,-1.285034E-01,-6.039374E-05, 1.660000E+00
9.037791E-01, 2.711406E+04,-1.284966E-01,-5.845145E-05, 1.670000E+00
9.041136E-01, 2.728072E+04,-1.284896E-01,-5.709940E-05, 1.680000E+00
9.043349E-01, 2.744739E+04,-1.284823E-01,-5.632991E-05, 1.690000E+00
9.044434E-01, 2.761406E+04,-1.284750E-01,-5.612619E-05, 1.700000E+00
9.044396E-01, 2.778072E+04,-1.284675E-01,-5.646297E-05, 1.710000E+00
9.043241E-01, 2.794739E+04,-1.284599E-01,-5.730721E-05, 1.720000E+00
9.040974E-01, 2.811406E+04,-1.284522E-01,-5.861896E-05, 1.730000E+00
9.037600E-01, 2.828072E+04,-1.284446E-01,-6.035223E-05, 1.740000E+00
9.033126E-01, 2.844739E+04,-1.284369E-01,-6.245596E-05, 1.750000E+00
9.027559E-01, 2.861406E+04,-1.284293E-01,-6.487501E-05, 1.760000E+00
9.020904E-01, 2.878072E+04,-1.284218E-01,-6.755120E-05, 1.770000E+00
9.013170E-01, 2.894739E+04,-1.284143E-01,-7.042432E-05, 1.780000E+00
9.004363E-01, 2.911405E+04,-1.284070E-01,-7.343318E-05, 1.790000E+00
8.994491E-01, 2.928072E+04,-1.283998E-01,-7.651658E-05, 1.800000E+00
8.983562E-01, 2.944739E+04,-1.283929E-01,-7.961431E-05, 1.810000E+00
8.971584E-01, 2.961405E+04,-1.283861E-01,-8.266800E-05, 1.820000E+00
8.958565E-01, 2.978072E+04,-1.283796E-01,-8.562203E-05, 1.830000E+00
8.944513E-01, 2.994739E+04,-1.283734E-01,-8.842423E-05, 1.840000E+00
8.929438E-01, 3.011405E+04,-1.283674E-01,-9.102661E-05, 1.850000E+00
8.913347E-01, 3.028072E+04,-1.283617E-01,-9.338595E-05, 1.860000E+00
8.896250E-01, 3.044739E+04,-1.283564E-01,-9.546425E-05, 1.870000E+00
8.878155E-01, 3.061405E+04,-1.283514E-01,-9.722917E-05, 1.880000E+00
8.859073E-01, 3.078072E+04,-1.283468E-01,-9.865430E-05, 1.890000E+00
8.839012E-01, 3.094739E+04,-1.283425E-01,-9.971935E-05, 1.900000E+00
8.817981E-01, 3.111405E+04,-1.283386E-01,-1.004102E-04, 1.910000E+00
8.795990E-01, 3.128072E+04,-1.283351E-01,-1.007190E-04, 1.920000E+00
8.773049E-01, 3.144739E+04,-1.283321E-01,-1.006438E-04, 1.930000E+00
8.749167E-01, 3.161405E+04,-1.283294E-01,-1.001886E-04, 1.940000E+00
8.724355E-01, 3.178072E+04,-1.283271E-01,-9.936309E-05, 1.950000E+00
8.698621E-01, 3.194738E+04,-1.283253E-01,-9.818199E-05, 1.960000E+00
8.671976E-01, 3.211405E+04,-1.283239E-01,-9.666489E-05, 1.970000E+00
8.644431E-01, 3.228072E+04,-1.283229E-01,-9.483565E-05, 1.980000E+00
8.615994E-01, 3.244738E+04,-1.283223E-01,-9.272188E-05, 1.990000E+00
8.586676E-01, 3.261405E+04,-1.283222E-01,-9.035440E-05, 2.000000E+00
8.556488E-01, 3.278072E+04,-1.283224E-01,-8.776656E-05, 2.010000E+00
8.525440E-01, 3.294738E+04,-1.283231E-01,-8.499373E-05, 2.020000E+00
8.493543E-01, 3.311405E+04,-1.283242E-01,-8.207256E-05, 2.030000E+00
8.460807E-01, 3.328072E+04,-1.283256E-01,-7.904047E-05, 2.040000E+00
8.427242E-01, 3.344738E+04,-1.283274E-01,-7.593494E-05, 2.050000E+00
8.392860E-01, 3.361405E+04,-1.283296E-01,-7.279300E-05, 2.060000E+00
8.357672E-01, 3.378072E+04,-1.283321E-01,-6.965064E-05, 2.070000E+00
8.321689E-01, 3.394738E+04,-1.283350E-01,-6.654227E-05, 2.080000E+00
8.284921E-01, 3.411405E+04,-1.283382E-01,-6.350030E-05, 2.090000E+00
8.247381E-01, 3.428072E+04,-1.283417E-01,-6.055469E-05, 2.100000E+00
8.209079E-01, 3.444738E+04,-1.283454E-01,-5.773256E-05, 2.110000E+00
8.170028E-01, 3.461405E+04,-1.283495E-01,-5.505791E-05, 2.120000E+00
8.130238E-01, 3.478072E+04,-1.283537E-01,-5.255136E-05, 2.130000E+00
8.089723E-01, 3.494738E+04,-1.283582E-01,-5.022997E-05, 2.140000E+00
8.048494E-01, 3.511405E+04,-1.283629E-01,-4.810710E-05, 2.150000E+00
8.006562E-01, 3.528071E+04,-1.283678E-01,-4.619236E-05, 2.160000E+00
7.963941E-01, 3.544738E+04,-1.283728E-01,-4.449162E-05, 2.170000E+00
7.920643E-01, 3.561405E+04,-1.283780E-01,-4.300705E-05, 2.180000E+00
7.876681E-01, 3.578071E+04,-1.283832E-01,-4.173723E-05, 2.190000E+00
7.832066E-01, 3.594738E+04,-1.283886E-01,-4.067733E-05, 2.200000E+00
7.786813E-01, 3.611405E+04,-1.283940E-01,-3.981933E-05, 2.210000E+00
7.740934E-01, 3.628071E+04,-1.283994E-01,-3.915225E-05, 2.220000E+00
7.694441E-01, 3.644738E+04,-1.284049E-01,-3.866245E-05, 2.230000E+00
7.647350E-01, 3.661405E+04,-1.284103E-01,-3.833395E-05, 2.240000E+00
