A,B
2.404467E+02, 6.804125E+00
2.404322E+02, 6.653564E+00
2.404176E+02, 6.504452E+00
2.404039E+02, 6.356853E+00
2.403922E+02, 6.210818E+00
2.403833E+02, 6.066394E+00
2.403779E+02, 5.923618E+00
2.403763E+02, 5.782525E+00
2.403786E+02, 5.643144E+00
2.403843E+02, 5.505506E+00
2.403930E+02, 5.369636E+00
2.404039E+02, 5.235564E+00
2.404162E+02, 5.103317E+00
2.404291E+02, 4.972926E+00
2.404418E+02, 4.844424E+00
2.404535E+02, 4.717848E+00
2.404637E+02, 4.593239E+00
2.404719E+02, 4.470641E+00
2.404776E+02, 4.350106E+00
2.404808E+02, 4.231689E+00
2.404814E+02, 4.115445E+00
2.404798E+02, 4.001433E+00
2.404762E+02, 3.889710E+00
2.404713E+02, 3.780331E+00
2.404656E+02, 3.673349E+00
2.404599E+02, 3.568811E+00
2.404548E+02, 3.466762E+00
2.404508E+02, 3.367238E+00
2.404484E+02, 3.270268E+00
2.404478E+02, 3.175876E+00
2.404487E+02, 3.084074E+00
2.404509E+02, 2.994868E+00
2.404540E+02, 2.908255E+00
2.404575E+02, 2.824223E+00
2.404609E+02, 2.742753E+00
2.404637E+02, 2.663817E+00
2.404657E+02, 2.587379E+00
2.404663E+02, 2.513397E+00
2.404653E+02, 2.441822E+00
2.404625E+02, 2.372596E+00
2.404579E+02, 2.305661E+00
2.404516E+02, 2.240948E+00
2.404437E+02, 2.178389E+00
2.404347E+02, 2.117908E+00
2.404247E+02, 2.059430E+00
2.404143E+02, 2.002875E+00
2.404040E+02, 1.948164E+00
2.403942E+02, 1.895216E+00
2.403855E+02, 1.843950E+00
2.403784E+02, 1.794286E+00
2.403733E+02, 1.746146E+00
2.403707E+02, 1.699452E+00
2.403708E+02, 1.654130E+00
2.403737E+02, 1.610108E+00
2.403795E+02, 1.567318E+00
2.403882E+02, 1.525694E+00
2.403993E+02, 1.485177E+00
2.404126E+02, 1.445709E+00
2.404276E+02, 1.407239E+00
2.404437E+02, 1.369718E+00
2.404603E+02, 1.333103E+00
2.404768E+02, 1.297356E+00
2.404926E+02, 1.262442E+00
2.405071E+02, 1.228330E+00
2.405199E+02, 1.194996E+00
2.405306E+02, 1.162417E+00
2.405391E+02, 1.130573E+00
2.405452E+02, 1.099450E+00
2.405489E+02, 1.069035E+00
2.405503E+02, 1.039318E+00
2.405497E+02, 1.010291E+00
2.405472E+02, 9.819480E-01
2.405434E+02, 9.542845E-01
2.405385E+02, 9.272973E-01
2.405329E+02, 9.009835E-01
2.405269E+02, 8.753411E-01
2.405208E+02, 8.503679E-01
2.405149E+02, 8.260618E-01
2.405092E+02, 8.024201E-01
2.405039E+02, 7.794397E-01
2.404992E+02, 7.571167E-01
2.404949E+02, 7.354462E-01
2.404912E+02, 7.144223E-01
2.404880E+02, 6.940379E-01
2.404852E+02, 6.742846E-01
2.404829E+02, 6.551528E-01
2.404808E+02, 6.366315E-01
2.404792E+02, 6.187293E-01
2.404780E+02, 6.015304E-01
2.404771E+02, 5.851000E-01
2.404764E+02, 5.694947E-01
2.404759E+02, 5.547633E-01
2.404754E+02, 5.409428E-01
2.404751E+02, 5.280577E-01
2.404747E+02, 5.161191E-01
2.404743E+02, 5.051249E-01
2.404739E+02, 4.950605E-01
2.404736E+02, 4.858993E-01
2.404734E+02, 4.776035E-01
2.404734E+02, 4.701256E-01
2.404738E+02, 4.634095E-01
2.404747E+02, 4.573919E-01
2.404761E+02, 4.520038E-01
2.404781E+02, 4.471719E-01
2.404809E+02, 4.428203E-01
2.404843E+02, 4.388717E-01
2.404882E+02, 4.352489E-01
2.404926E+02, 4.318761E-01
2.404972E+02, 4.286801E-01
2.405018E+02, 4.255915E-01
2.405061E+02, 4.225453E-01
2.405098E+02, 4.194818E-01
2.405129E+02, 4.163474E-01
2.405149E+02, 4.130950E-01
2.405159E+02, 4.096845E-01
2.405158E+02, 4.060826E-01
2.405145E+02, 4.022635E-01
2.405121E+02, 3.982081E-01
2.405088E+02, 3.939046E-01
2.405047E+02, 3.893475E-01
2.405001E+02, 3.845375E-01
2.404953E+02, 3.794812E-01
2.404905E+02, 3.741903E-01
2.404862E+02, 3.686811E-01
2.404825E+02, 3.629738E-01
2.404797E+02, 3.570922E-01
2.404780E+02, 3.510623E-01
2.404775E+02, 3.449123E-01
2.404782E+02, 3.386716E-01
2.404800E+02, 3.323702E-01
2.404828E+02, 3.260382E-01
2.404863E+02, 3.197051E-01
2.404903E+02, 3.133991E-01
2.404944E+02, 3.071471E-01
2.404985E+02, 3.009739E-01
2.405022E+02, 2.949019E-01
2.405053E+02, 2.889511E-01
2.405075E+02, 2.831383E-01
2.405088E+02, 2.774777E-01
2.405090E+02, 2.719800E-01
2.405083E+02, 2.666531E-01
2.405065E+02, 2.615018E-01
2.405039E+02, 2.565279E-01
2.405006E+02, 2.517303E-01
2.404969E+02, 2.471053E-01
2.404929E+02, 2.426467E-01
2.404890E+02, 2.383462E-01
2.404855E+02, 2.341935E-01
2.404825E+02, 2.301768E-01
2.404803E+02, 2.262830E-01
2.404790E+02, 2.224978E-01
2.404788E+02, 2.188064E-01
2.404796E+02, 2.151938E-01
2.404814E+02, 2.116447E-01
2.404841E+02, 2.081441E-01
2.404875E+02, 2.046776E-01
2.404915E+02, 2.012314E-01
2.404957E+02, 1.977930E-01
2.404999E+02, 1.943513E-01
2.405039E+02, 1.908977E-01
2.405075E+02, 1.874261E-01
2.405105E+02, 1.839305E-01
2.405128E+02, 1.804033E-01
2.405143E+02, 1.768334E-01
2.405149E+02, 1.732039E-01
2.405147E+02, 1.694908E-01
2.405138E+02, 1.656613E-01
2.405122E+02, 1.616725E-01
2.405102E+02, 1.574706E-01
2.405078E+02, 1.529898E-01
2.405052E+02, 1.481523E-01
2.405026E+02, 1.428676E-01
2.405001E+02, 1.370331E-01
2.404978E+02, 1.305341E-01
2.404959E+02, 1.232445E-01
2.404943E+02, 1.150276E-01
2.404931E+02, 1.057370E-01
2.404924E+02, 9.521751E-02
2.404920E+02, 8.330685E-02
2.404921E+02, 6.983646E-02
2.404924E+02, 5.463304E-02
2.404930E+02, 3.751989E-02
2.404937E+02, 1.831824E-02
2.404943E+02,-3.151467E-03
2.404949E+02,-2.706834E-02
2.404953E+02,-5.360987E-02
2.404953E+02,-8.295092E-02
2.404949E+02,-1.152628E-01
2.404941E+02,-1.507124E-01
2.404927E+02,-1.894616E-01
2.404908E+02,-2.316665E-01
2.404882E+02,-2.774774E-01
2.404852E+02,-3.270379E-01
2.404816E+02,-3.804853E-01
2.404777E+02,-4.379500E-01
2.404734E+02,-4.995560E-01
2.404689E+02,-5.654209E-01
2.404644E+02,-6.356559E-01
2.404600E+02,-7.103660E-01
2.404558E+02,-7.896492E-01
2.404521E+02,-8.735971E-01
2.404488E+02,-9.622951E-01
2.404462E+02,-1.055822E+00
2.404445E+02,-1.154251E+00
2.404436E+02,-1.257650E+00
2.404436E+02,-1.366080E+00
2.404447E+02,-1.479599E+00
2.404468E+02,-1.598258E+00
2.404498E+02,-1.722104E+00
2.404539E+02,-1.851180E+00
2.404588E+02,-1.985525E+00
2.404646E+02,-2.125174E+00
2.404711E+02,-2.270159E+00
2.404783E+02,-2.420509E+00
2.404860E+02,-2.576315E+00
2.404940E+02,-2.737639E+00
2.405023E+02,-2.904532E+00
2.405105E+02,-3.077029E+00
2.405183E+02,-3.255145E+00
2.405257E+02,-3.438876E+00
2.405322E+02,-3.628194E+00
2.405378E+02,-3.823047E+00
2.405423E+02,-4.023355E+00
2.405456E+02,-4.229012E+00
2.405475E+02,-4.439882E+00
2.405482E+02,-4.655799E+00
2.405476E+02,-4.876560E+00
2.405458E+02,-5.101930E+00
2.405430E+02,-5.331634E+00
2.405394E+02,-5.565359E+00
2.405352E+02,-5.802751E+00
2.405306E+02,-6.043410E+00
2.405257E+02,-6.286895E+00
2.405206E+02,-6.532717E+00
2.405152E+02,-6.780343E+00
2.405095E+02,-7.029199E+00
2.405035E+02,-7.278671E+00
2.404972E+02,-7.528116E+00
2.404909E+02,-7.776863E+00
2.404845E+02,-8.024230E+00
2.404778E+02,-8.269531E+00
2.404708E+02,-8.512088E+00
2.404629E+02,-8.751240E+00
2.404540E+02,-8.986353E+00
2.404441E+02,-9.216828E+00
2.404331E+02,-9.442105E+00
2.404210E+02,-9.661669E+00
2.404081E+02,-9.875048E+00
2.403945E+02,-1.008182E+01
2.403805E+02,-1.028160E+01
2.403664E+02,-1.047405E+01
2.403526E+02,-1.065887E+01
2.403393E+02,-1.083582E+01
2.403271E+02,-1.100466E+01
2.403163E+02,-1.116519E+01
2.403071E+02,-1.131726E+01
2.403000E+02,-1.146073E+01
2.402952E+02,-1.159547E+01
2.402929E+02,-1.172138E+01
2.402932E+02,-1.183838E+01
2.402966E+02,-1.194640E+01
2.403033E+02,-1.204538E+01
2.403137E+02,-1.213528E+01
2.403277E+02,-1.221605E+01
2.403451E+02,-1.228765E+01
2.403653E+02,-1.235005E+01
2.403878E+02,-1.240323E+01
2.404118E+02,-1.244714E+01
