A,B,C,D,E
-1.414980E-06,2.271686E+04,-1.243362E-01,0.000000E+00,1.430000E+00
-1.424981E-06,2.288075E+04,-1.243402E-01,0.000000E+00,1.440000E+00
-1.434768E-06,2.304464E+04,-1.243435E-01,0.000000E+00,1.450000E+00
-1.444321E-06,2.320853E+04,-1.243463E-01,0.000000E+00,1.460000E+00
-1.453638E-06,2.337242E+04,-1.243486E-01,0.000000E+00,1.470000E+00
-1.462699E-06,2.353631E+04,-1.243503E-01,0.000000E+00,1.480000E+00
-1.471503E-06,2.370020E+04,-1.243515E-01,0.000000E+00,1.490000E+00
-1.480032E-06,2.386409E+04,-1.243521E-01,0.000000E+00,1.500000E+00
-1.488286E-06,2.402797E+04,-1.243521E-01,0.000000E+00,1.510000E+00
-1.496248E-06,2.419186E+04,-1.243516E-01,0.000000E+00,1.520000E+00
-1.503919E-06,2.435575E+04,-1.243506E-01,0.000000E+00,1.530000E+00
-1.511283E-06,2.451964E+04,-1.243491E-01,0.000000E+00,1.540000E+00
-1.518342E-06,2.468353E+04,-1.243470E-01,0.000000E+00,1.550000E+00
-1.525081E-06,2.484742E+04,-1.243445E-01,0.000000E+00,1.560000E+00
-1.531504E-06,2.501131E+04,-1.243415E-01,0.000000E+00,1.570000E+00
-1.537597E-06,2.517520E+04,-1.243380E-01,0.000000E+00,1.580000E+00
-1.543363E-06,2.533908E+04,-1.243341E-01,0.000000E+00,1.590000E+00
-1.548791E-06,2.550297E+04,-1.243298E-01,0.000000E+00,1.600000E+00
-1.553884E-06,2.566686E+04,-1.243251E-01,0.000000E+00,1.610000E+00
-1.558632E-06,2.583075E+04,-1.243200E-01,0.000000E+00,1.620000E+00
-1.563041E-06,2.599464E+04,-1.243146E-01,0.000000E+00,1.630000E+00
-1.567097E-06,2.615853E+04,-1.243089E-01,0.000000E+00,1.640000E+00
-1.570809E-06,2.632242E+04,-1.243029E-01,0.000000E+00,1.650000E+00
-1.574165E-06,2.648631E+04,-1.242967E-01,0.000000E+00,1.660000E+00
-1.577173E-06,2.665019E+04,-1.242902E-01,0.000000E+00,1.670000E+00
-1.579821E-06,2.681408E+04,-1.242835E-01,0.000000E+00,1.680000E+00
-1.582118E-06,2.697797E+04,-1.242767E-01,0.000000E+00,1.690000E+00
-1.584053E-06,2.714186E+04,-1.242697E-01,0.000000E+00,1.700000E+00
-1.585634E-06,2.730575E+04,-1.242627E-01,0.000000E+00,1.710000E+00
-1.586852E-06,2.746964E+04,-1.242555E-01,0.000000E+00,1.720000E+00
-1.587713E-06,2.763353E+04,-1.242483E-01,0.000000E+00,1.730000E+00
-1.588210E-06,2.779742E+04,-1.242411E-01,0.000000E+00,1.740000E+00
-1.588350E-06,2.796130E+04,-1.242340E-01,0.000000E+00,1.750000E+00
-1.588125E-06,2.812519E+04,-1.242268E-01,0.000000E+00,1.760000E+00
-1.587544E-06,2.828908E+04,-1.242198E-01,0.000000E+00,1.770000E+00
-1.586595E-06,2.845297E+04,-1.242128E-01,0.000000E+00,1.780000E+00
-1.585292E-06,2.861686E+04,-1.242060E-01,0.000000E+00,1.790000E+00
-1.583621E-06,2.878075E+04,-1.241993E-01,0.000000E+00,1.800000E+00
-1.581595E-06,2.894464E+04,-1.241928E-01,0.000000E+00,1.810000E+00
-1.579202E-06,2.910853E+04,-1.241865E-01,0.000000E+00,1.820000E+00
-1.576455E-06,2.927242E+04,-1.241805E-01,0.000000E+00,1.830000E+00
-1.573341E-06,2.943630E+04,-1.241747E-01,0.000000E+00,1.840000E+00
-1.569875E-06,2.960019E+04,-1.241692E-01,0.000000E+00,1.850000E+00
-1.566042E-06,2.976408E+04,-1.241639E-01,0.000000E+00,1.860000E+00
-1.561860E-06,2.992797E+04,-1.241590E-01,0.000000E+00,1.870000E+00
-1.557313E-06,3.009186E+04,-1.241544E-01,0.000000E+00,1.880000E+00
-1.552419E-06,3.025575E+04,-1.241502E-01,0.000000E+00,1.890000E+00
-1.547164E-06,3.041964E+04,-1.241463E-01,0.000000E+00,1.900000E+00
-1.541566E-06,3.058353E+04,-1.241427E-01,0.000000E+00,1.910000E+00
-1.535610E-06,3.074741E+04,-1.241395E-01,0.000000E+00,1.920000E+00
-1.529316E-06,3.091130E+04,-1.241368E-01,0.000000E+00,1.930000E+00
-1.522668E-06,3.107519E+04,-1.241344E-01,0.000000E+00,1.940000E+00
-1.515687E-06,3.123908E+04,-1.241324E-01,0.000000E+00,1.950000E+00
-1.508358E-06,3.140297E+04,-1.241308E-01,0.000000E+00,1.960000E+00
-1.500702E-06,3.156686E+04,-1.241295E-01,0.000000E+00,1.970000E+00
-1.492705E-06,3.173075E+04,-1.241287E-01,0.000000E+00,1.980000E+00
-1.484389E-06,3.189464E+04,-1.241283E-01,0.000000E+00,1.990000E+00
-1.475738E-06,3.205852E+04,-1.241283E-01,0.000000E+00,2.000000E+00
-1.466777E-06,3.222241E+04,-1.241286E-01,0.000000E+00,2.010000E+00
-1.457490E-06,3.238630E+04,-1.241293E-01,0.000000E+00,2.020000E+00
-1.447902E-06,3.255019E+04,-1.241305E-01,0.000000E+00,2.030000E+00
-1.437998E-06,3.271408E+04,-1.241319E-01,0.000000E+00,2.040000E+00
-1.427805E-06,3.287797E+04,-1.241337E-01,0.000000E+00,2.050000E+00
-1.417305E-06,3.304186E+04,-1.241359E-01,0.000000E+00,2.060000E+00
-1.406526E-06,3.320575E+04,-1.241383E-01,0.000000E+00,2.070000E+00
-1.395453E-06,3.336963E+04,-1.241411E-01,0.000000E+00,2.080000E+00
-1.384113E-06,3.353352E+04,-1.241442E-01,0.000000E+00,2.090000E+00
-1.372491E-06,3.369741E+04,-1.241476E-01,0.000000E+00,2.100000E+00
-1.360616E-06,3.386130E+04,-1.241512E-01,0.000000E+00,2.110000E+00
-1.348468E-06,3.402519E+04,-1.241550E-01,0.000000E+00,2.120000E+00
